50|00|50|0|
50|00|50|0|
50|00|50|0|
50|00|50|0|
100|00|100|0|
150|00|150|0|
200|11|200|0|
250|81|200|0|
50|22|50|0|
50|00|50|1|
50|00|50|0|
50|00|50|0|
50|114|50|0|
50|121|50|1|
50|114|50|0|
50|121|50|1|
50|114|50|0|
50|151|50|0|
50|161|50|0|
50|00|50|0|
50|00|50|0|
50|00|400|0|
50|00|50|0|
400|31|50|0|
50|00|50|0|
250|00|200|0|
250|00|200|0|
150|121|200|0|
250|00|200|0|
250|41|200|0|
250|41|100|0|
250|00|200|0|
250|41|200|0|
50|51|50|0|
50|00|50|0|
50|83|50|0|
50|51|50|0|
50|42|50|0|
50|52|50|0|
50|61|50|0|
50|42|50|1|
50|00|50|0|
50|61|50|0|
50|161|50|0|
50|161|50|0|
50|161|50|0|
50|161|50|0|
50|161|50|0|
50|161|50|0|
50|161|50|0|
